credit: 2.00, grade: 95.0, point: 4.0
credit: 4.00, grade: 98.0, point: 4.0
credit: 4.00, grade: 92.0, point: 4.0
credit: 5.50, grade: 85.0, point: 4.0
credit: 2.50, grade: 91.0, point: 4.0
credit: 1.00, grade: 91.0, point: 4.0
credit: 2.00, grade: 79.0, point: 3.4
credit: 2.50, grade: 91.0, point: 4.0
credit: 2.50, grade: 86.0, point: 4.0
credit: 0.80, grade: 84.0, point: 3.9
credit: 3.50, grade: 87.0, point: 4.0
credit: 1.00, grade: 82.0, point: 3.7
credit: 2.50, grade: 93.0, point: 4.0
credit: 2.00, grade: 82.0, point: 3.7
credit: 1.00, grade: 87.0, point: 4.0
credit: 1.00, grade: 82.0, point: 3.7
credit: 2.00, grade: 89.0, point: 4.0
credit: 3.50, grade: 87.0, point: 4.0
credit: 3.50, grade: 89.0, point: 4.0
credit: 3.50, grade: 81.0, point: 3.6
credit: 2.00, grade: 86.0, point: 4.0
credit: 1.00, grade: 88.0, point: 4.0
credit: 2.00, grade: 90.0, point: 4.0
credit: 3.00, grade: 95.0, point: 4.0
credit: 3.00, grade: 89.0, point: 4.0
credit: 3.00, grade: 84.0, point: 3.9
credit: 2.00, grade: 65.0, point: 2.0
credit: 3.00, grade: 95.0, point: 4.0
credit: 2.00, grade: 93.0, point: 4.0
credit: 2.00, grade: 90.0, point: 4.0
credit: 3.00, grade: 78.0, point: 3.3
credit: 3.00, grade: 90.0, point: 4.0
credit: 3.00, grade: 88.0, point: 4.0
credit: 3.00, grade: 94.0, point: 4.0
credit: 10.00, grade: 87.0, point: 4.0
credit: 2.00, grade: 90.0, point: 4.0
credit: 2.00, grade: 92.0, point: 4.0
credit: 1.50, grade: 90.0, point: 4.0
credit: 6.00, grade: 72.0, point: 2.7
credit: 2.00, grade: 89.0, point: 4.0

==> Your GPA is:3.834
